home_links	home_links-href	cante_name
El Pele	http://canteytoque.es/letraspuroyjondopele.html	Seguiriyas
"El barrio de Santiago (Guapo, Agujetas, M. Agujetas, Periñaca, Borrico y Chicharrona)"	http://canteytoque.es/letrasritosantiago.html	Seguiriyas (Agujetas el Viejo)
"Colección Federico García Lorca (Torre, Tenazas, Pastora, Tomás y Cepero)"	http://canteytoque.es/letrasvvcoleccionlorca.html	De la playa las arenas (fandanguillos de Huelva) José Cepero
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Mírame a los ojos (siguiriyas) Agustín el Gitano
Qué nos queda	http://canteytoque.es/letrasvvquenosqueda.html	Tangos
Pessoa flamenco	http://canteytoque.es/letrasvicentesotopessoa.html	bulerías
Mariana Cornejo	http://canteytoque.es/letraspuroyjondocornejo.html	Bulerías
CD 13	http://canteytoque.es/letraspastora13.html	4. Entre sábanas de Holanda (bambera)
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 1)"	http://canteytoque.es/letrasvvgrabacionesenparis1.html	Serrana (Juan Varea)
"Fiesta gitana por tangos (C. Montoya, V. Peña, Calzones, A. de Álora, Camarón y Funi)"	http://canteytoque.es/letrasritofiestatango.html	Camarón
CD 9	http://canteytoque.es/letraspastora09.html	3. Hasta la fe del bautismo (soleá)
"Antología de cantaores flamencos. Vol. 25 (Agujetas Viejo, Garbanzo y Salmonete)"	http://canteytoque.es/letrasvvagujetaviejogarbanzosalmonete.html	El pan que llevo a mi boca (soleares) el Salmonete
Beni de Cádiz (con Manolete)	http://canteytoque.es/letrasritobeni.html	Bulerías
VI concurso nacional de arte flamenco 1971 Córdoba (CD1)	http://canteytoque.es/letrasvvviconcurso1.html	Granaínas. Alfredo Arrebola
"El barrio de Santiago (Guapo, Agujetas, M. Agujetas, Periñaca, Borrico y Chicharrona)"	http://canteytoque.es/letrasritosantiago.html	Soleares (Manuel Agujetas)
Premio Manuel Torre de cante flamenco	http://canteytoque.es/letrasmagujetapremio.html	Viejo cante por tangos
Fandangos de Huelva (Pepe Rivera y Paco Toronjo)	http://canteytoque.es/letrasritofandangosdehuelva.html	Fandango de Alosno (Pepe Rivera)
"De Granada a La Unión (J. Hierro, P. Cros, Fosforito, M. Caparrós, E. Andreu y Camarón)"	http://canteytoque.es/letrasritogranadaalaunion.html	Minera (Pencho Cros)
"De Sanlúcar a La Línea (Medrano, Castaña, Farina, Mollino, Yiyi y Paca)"	http://canteytoque.es/letrasritosanlucaralalinea.html	Rosas de la peregrina (Ramón Medrano)
Fandangos de Huelva (Pepe Rivera y Paco Toronjo)	http://canteytoque.es/letrasritofandangosdehuelva.html	Fandango de Pérez de Guzmán (Paco Toronjo)
Antología del cante flamenco (CD 2)	http://canteytoque.es/letrasantologiahispavox2.html	El polo. Niño de Almadén
Le chant du monde v. 8. (con Agujeta Viejo)	http://canteytoque.es/letrasmagujetachant.html	Lo amarraba por las manos (martinetes)
CD 9	http://canteytoque.es/letraspastora09.html	14. Ni aun durmiendo puedo tener (petenera)
Si yo volviera a nacer	http://canteytoque.es/letraschocolatesiyo.html	Las mozas lo ven pasar (romera)
disco 7	http://canteytoque.es/letrasvvantologiaariola7.html	Con lo poquito que había (tangos) Manuel Soto Sordera
El genio (Quejío) 2	http://canteytoque.es/letrascaracolquejio2.html	La barca de mis amores (tientos caracoleros)
Maestros del cante vol. 2	http://canteytoque.es/letrasborrico.html	La calor de mis niños (siguiriyas)
Chano Lobato (CD2)	http://canteytoque.es/letraschano2.html	Alegrías
Castillo de arena	http://canteytoque.es/letrascamaroncastillodearena.html	Como castillo de arena (bulerías)
Gitanas de Utrera por bulerías	http://canteytoque.es/letrasvvgitanasdeutrera.html	Del color de la adelfa. Bernarda de Utrera
En familia. Familia Montoya	http://canteytoque.es/letrasvvfamiliamontoya.html	Yo soy agua
CD 7	http://canteytoque.es/letraspastora07.html	8. Una cartita me mande (siguiriya)
El Indio Gitano	http://canteytoque.es/letrasindiogitano.html	Por tu forma de mirar (bulerías)
Cátedra del cante vol. 41	http://canteytoque.es/letrasislanino.html	Sabiendo lo que yo quiero (malagueñas) Niño de La Isla
Solera gitana(Quejío) 2	http://canteytoque.es/letrasmairenaquejio2.html	Gitano rico (fiesta por bulerías)
50 años de flamenco (1935-1985) v. 10	http://canteytoque.es/letraschocolate50.html	Tango del Piyayo
Canela de San Roque	http://canteytoque.es/letraspuroyjondocanela.html	Fandangos
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 2)"	http://canteytoque.es/letrasvvgrabacionesenparis2.html	Alegrías (Rafael Romero)
Maestros del cante	http://canteytoque.es/letrassorderamaestros.html	Quien a la mina camina (tarantos)
Por bulerías	http://canteytoque.es/letrasvvporbulerias.html	Bulerías de mi abuelo el Chalao. Garbanzo de Jerez
Auténtica	http://canteytoque.es/letrasburra.html	Bulerías de Jerez
CD 6	http://canteytoque.es/letraspastora06.html	11. En el campo de Melilla (sevillana)
Familia Soto Sordera	http://canteytoque.es/letraspuroyjondofamiliasoto.html	Bulerías
Archivo de flamenco. Camarón de La Isla con el Turronero	http://canteytoque.es/letrasvvcamaronturronero.html	Como tengo voz sonora (rumba gitana) el Turronero
disco 10	http://canteytoque.es/letrasvvantologiaariola10.html	Son cuatro puntalitos (soleares) Manuel de Angustias
disco 1	http://canteytoque.es/letrasvvantologiaariola1.html	Una farruca en Galicia (farruca) Rafael Romero
CD 11	http://canteytoque.es/letraspastora11.html	8. Que los besos de una madre (fandango)
Nueva frontera del cante de Jerez (CD 1)	http://canteytoque.es/letrasvvnuevafrontera1.html	Camisa en un año (seguirillas de M. Torre) Manuel Moneo
Así es... Pansequito	http://canteytoque.es/letraspansecoasies.html	Dicen que Romeo y Julieta
El genio (Quejío) 2	http://canteytoque.es/letrascaracolquejio2.html	Lo murmura el mundo entero - que era falso tu querer (fandangos)
El genio (Quejío) 2	http://canteytoque.es/letrascaracolquejio2.html	Fiestas caracoleras (bulerías)
Juana la del Revuelo	http://canteytoque.es/letraspuroyjondojuanarevuelo.html	Soleá
Actuaciones históricas CD 1	http://canteytoque.es/letrasfosforitoact1.html	Del cante se ha dicho tanto (fandangos de Lucena y cantes de Juan Breva)
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	Considera por ti propia (soleá)
"Antología de cantaores flamencos. Vol. 25 (Agujetas Viejo, Garbanzo y Salmonete)"	http://canteytoque.es/letrasvvagujetaviejogarbanzosalmonete.html	Me encomendé en alta mar (alegrías) el Salmonete
"Grandes guitarras del flamenco. Pedro Peña (con Perrata, Lebrijano, Periñaca, Borrico y Juanata)"	http://canteytoque.es/letrasvvpedropena.html	Nadie se va de este mundo (fandango por soleá) María la Perrata
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	En contra (seguiriya)
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Pero ahora no te quiero (fandangos atarantados) Gabriel Moreno
Arte flamenco. Cobitos / Sernita de Jerez	http://canteytoque.es/letrasvvcobitossernita.html	Maltratarla no se debe (fandangos) Cobitos
Santiago Donday	http://canteytoque.es/letraspuroyjondodonday.html	Soleá
José de la Tomasa	http://canteytoque.es/letraspuroyjondojosetomasa.html	Toná
Por derecho	http://canteytoque.es/letrasclavel.html	Eres como la veleta (el polo)
"Antología de cantaores flamencos. Vol. 8 (Chocolate, Cojo de Málaga, Pena hijo)"	http://canteytoque.es/letrasvvchocolatecojomalagapenahijo.html	Que en ella pierde la fe (fandango del Pena) José Muñoz Pena hijo
"La Serranía (Morente, Matrona, Menese y Mairena)"	http://canteytoque.es/letrasritoserrania.html	La caña (Enrique Morente)
disco 1	http://canteytoque.es/letrasvvantologiaariola1.html	Por cumplir con Dios (martinetes) Tía Anica la Periñaca
Arte flamenco. Miguel Vargas / Chano Lobato	http://canteytoque.es/letrasvvmiguelvargaschano.html	Ando buscando quien tenga (fandangos) Miguel Vargas
CD 6	http://canteytoque.es/letraspastora06.html	2. Tú te tienes porque eres (garrotín)
Flamenco vivo	http://canteytoque.es/letrascamaronflamencovivo.html	Un tiro al aire (alegrías)
Morrongo	http://canteytoque.es/letrasdondaymorrongo.html	Bulerías
El Lebrijano	http://canteytoque.es/letraspuroyjondolebrijano.html	Bulerías
Le chant du monde v. 18	http://canteytoque.es/letrasromerochant.html	Ven acá tú mujer (martinete)
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	Me dieron las doce (seguiriya y cabal)
Actuaciones históricas(CD2)	http://canteytoque.es/letrasmairenaact2.html	Mal fin tenga este civil (bulerías)
"La familia Pinini (Fernanda Peña, Funi, María Peña, Bernarda y Fernanda)"	http://canteytoque.es/letrasritofamiliapinini.html	Alboreá (Miguel Funi)
Segundo disco	http://canteytoque.es/letrasrancapino2.html	Aires de Aurelio (alegrías)
Arte flamenco. Cobitos / Sernita de Jerez	http://canteytoque.es/letrasvvcobitossernita.html	No la deben de enterrar (malagueña de la Trini) Cobitos
Solera gitana(Quejío) 1	http://canteytoque.es/letrasmairenaquejio1.html	A la luna le pido (siguiriyas primitivas)
Manolo Caracol (II)	http://canteytoque.es/letrasritocaracol2.html	Romance de Juan de Osuna
Cultura Jonda 20	http://canteytoque.es/letrasjosleroculturajonda.html	Que bien clara estaba la cuenta (bulerías)
"Fiesta gitana por tangos (C. Montoya, V. Peña, Calzones, A. de Álora, Camarón y Funi)"	http://canteytoque.es/letrasritofiestatango.html	Carmen Montoya
Arte y compás	http://canteytoque.es/letrasgaspardeutrera.html	Aires de Alcalá (soleá)
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 2)"	http://canteytoque.es/letrasvvgrabacionesenparis2.html	Soleares (Rafael Romero)
disco 2	http://canteytoque.es/letrasvvantologiaariola2.html	Que me quieres tanto y cuanto (tangos) Pericón
CD 4	http://canteytoque.es/letraspastora04.html	6. Yo le di un duro al barquero (alegría)
Archivo de flamenco	http://canteytoque.es/letrasterremotoarchivo.html	Las penas de mi corazón (siguiriyas)
Los cantes inéditos de Juan Talega	http://canteytoque.es/letrastalegacantesineditos.html	Seguiriya
Evocación a Terremoto. Manuel Morao y gitanos de Jerez	http://canteytoque.es/letrasvvevocacionaterremoto.html	"Siguiriya. A. Núñez ""Chocolate"""
Qué nos queda	http://canteytoque.es/letrasvvquenosqueda.html	Bulerías del Chozas
El cante gitano del Chocolate	http://canteytoque.es/letraschocolatecantegitano.html	Lo que yo siento de veras (soleares)
El flamenco como suena	http://canteytoque.es/letrasfernandaybernardacomosuena.html	Bulerías. Bernarda
Maestros del cante vol. 2	http://canteytoque.es/letrasborrico.html	A la puerta que llamo (siguiriyas)
disco 5	http://canteytoque.es/letrasvvantologiaariola5.html	Coge una silletita (bulerías) Manolito de María
Camarón	http://canteytoque.es/letrasritocamaron.html	Bulerías
"Grandes guitarras del flamenco. Manuel Morao (con Sernita, Chaleco, Paquera y Terremoto)"	http://canteytoque.es/letrasvvmorao.html	"Ay de mí, que me he perdido (romeras) José Fernández el Chaleco"
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	Repiqueteo de cascabel (rumba) la Perla de Cádiz
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Javera. Pedro Sánchez
Platero de Alcalá	http://canteytoque.es/letrasritoplatero.html	
Cátedra del cante vol. 39	http://canteytoque.es/letrasvallejo.html	Cómo yo te quise a ti (fandangos)
Le chant du monde v. 17	http://canteytoque.es/letrasbenichant.html	Bulería cazadora
En Lebrija. El Funi y el Juanata con Pedro Peña	http://canteytoque.es/letrasvvenlebrija.html	Mi gitana (tangos) el Funi
"Cantes primitivos sin guitarra (A. Cepillo, Negro, Medrano, Jeroma, Lebrijano, P. de la Isla)"	http://canteytoque.es/letrasritocantesprimitivos.html	Carcelera (Pepe de la Isla)
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Que he dejado de quererte (malagueña) Chocolate de Granada
"Grandes guitarras del flamenco. Pedro Peña (con Perrata, Lebrijano, Periñaca, Borrico y Juanata)"	http://canteytoque.es/letrasvvpedropena.html	Desgracia mía (soleares) María la Perrata
Grandes cantaores del flamenco	http://canteytoque.es/letraschatodelaisla.html	Tenemos que soportar (bulerías)
Beni de Cádiz	http://canteytoque.es/letrasbeni.html	Malagueñas/verdiales
Primer disco	http://canteytoque.es/letrasrancapino1.html	Malagueñas del Mellizo (malagueña)
Maestros del cante	http://canteytoque.es/letrassorderamaestros.html	Ventana de la muralla (alegrías)
Chano Lobato (CD2)	http://canteytoque.es/letraschano2.html	En el palacio del rey (cantiña)
Le chant du monde v. 19	http://canteytoque.es/letrasperinacachant.html	Soleares de Jerez
Cátedra del cante vol. 41	http://canteytoque.es/letrasislanino.html	Tengo que subir al puerto (montañesa) Niño de La Isla
Cultura Jonda 4. De Cádiz... aquella Venta de Vargas	http://canteytoque.es/letrasvvaquellaventadevargas.html	Sin cédula ni licencia (fandangos) Pericón de Cádiz
Caminos reales del cante	http://canteytoque.es/letrasmercecaminosreales.html	Si me perdiera algún día (tientos)
"Viejos cantaores (Talega, Perote, Agujetas, Onofre, Piñana y P. Matrona)"	http://canteytoque.es/letrasritoviejoscantaores.html	Soleares (Pepe el de la Matrona)
Así es... Pansequito	http://canteytoque.es/letraspansecoasies.html	En el arca de Noé
Cante flamenco (volumen 2)	http://canteytoque.es/letrasfernandaybernardacanteflamenco2.html	Soleares. Fernanda
Los cantes inéditos de Juan Talega	http://canteytoque.es/letrastalegacantesineditos.html	Bulerías
Cátedra del cante vol. 34	http://canteytoque.es/letrasrequejo.html	Soy soberana y gitana (soleares) Luisa Requejo
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	No digas que me has dejado (soleá)
"Grandes guitarras del flamenco. Manuel Morao (con Sernita, Chaleco, Paquera y Terremoto)"	http://canteytoque.es/letrasvvmorao.html	Yo pasé fatigas dobles (bulerías) Paquera de Jerez
Bulerías	http://canteytoque.es/letraspansecobulerias.html	El jardín de mi vecina
Cultura Jonda 5	http://canteytoque.es/letrasromerocultura.html	Ha confesado al mundo (saeta)
Cátedra del cante vol. 39	http://canteytoque.es/letrasvallejo.html	Hoy me encuentro arrepentío (fandangos)
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Malagueña. Manolo Caracol
CD 7	http://canteytoque.es/letraspastora07.html	4. Niños que en cueros y descalzos (petenera)
CD 3	http://canteytoque.es/letrasantologiaorfeon3.html	Martinete. Caracol / D. Moreno
Manuel Moneo	http://canteytoque.es/letraspuroyjondomoneo.html	Soleá a ritmo
El Zambo	http://canteytoque.es/letraspuroyjondozambo.html	Tonás
Cátedra del cante vol. 14	http://canteytoque.es/letrasgloria.html	Antes de dormirme yo (fandanguillos)
Familia Soto Sordera	http://canteytoque.es/letraspuroyjondofamiliasoto.html	Soleá por bulerías
Maestros del cante	http://canteytoque.es/letraschocolatemaestros.html	A clavo y canela (siguiriyas)
Por tangos y tientos	http://canteytoque.es/letrasvvportangosytientos.html	Camino del olivar (tangos) Nano de Jerez
La casa de los Mairena	http://canteytoque.es/letrasritocasamairena.html	Martinete (Antonio Mairena)
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	Mi caballo se paró (fandango)
Arte flamenco. Cobitos / Sernita de Jerez	http://canteytoque.es/letrasvvcobitossernita.html	Me da miedo de quererte (soleares) Sernita de Jerez
CD 1	http://canteytoque.es/letraspastora01.html	4. A mí mi madre (tientos)
Un maestro del cante	http://canteytoque.es/letrasescacena.html	Decían con salero y garbo (tarantas)
Verea del camino	http://canteytoque.es/letrasvicentesotoverea.html	Bastante me quitaron (malagueñas)
Cátedra del cante vol. 27	http://canteytoque.es/letrassebastianpena.html	Que tienes por mi persona (malagueñas de Chacón)
Maestros del cante	http://canteytoque.es/letrasbernardolobitos.html	Por una oscura galería (taranta)
Arte flamenco. Antonio Piñana / Dolores de Córdoba	http://canteytoque.es/letrasvvpinanadolorescordoba.html	Por no haber tanta mentira (fandangos del Sevillano) Dolores de Córdoba
Fiesta en Andalucía la Baja	http://canteytoque.es/letrasvvfiestaenandalucialabaja.html	Pierdo el sentido (siguiriyas) El Borrico
Nueva frontera del cante de Jerez (CD 2)	http://canteytoque.es/letrasvvnuevafrontera2.html	Dios mío dame paciencia (aires festeros) Manolito de Malena
Aromas de Cádiz	http://canteytoque.es/letraschanoaromas.html	"Te casas, yo me caso (bulerías al golpe)"
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 1)"	http://canteytoque.es/letrasvvgrabacionesenparis1.html	Polo natural (Juan Varea)
Arte y compás	http://canteytoque.es/letrasgaspardeutrera.html	Abril y mayo (bulerías)
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	A tu vera (canción por bulerías) la Perla de Cádiz
Maestros del cante vol. 2	http://canteytoque.es/letrasborrico.html	Yo eché leña en tu corral (soleares)
"Cádiz y Los Puertos (Perla, Sabina, J. Vargas, R. Romero y C. la Gamba)"	http://canteytoque.es/letrasritocadizylospuertos.html	Tientos-tangos (Juan Vargas)
Así es... Pansequito	http://canteytoque.es/letraspansecoasies.html	No cruces la puerta
Antología del cante flamenco y cante gitano. CD 2	http://canteytoque.es/letrasvvantologiamairena2.html	Soleá de Triana. La Perla de Triana
Solera gitana(Quejío) 1	http://canteytoque.es/letrasmairenaquejio1.html	Con un torito de plaza (cantiñas)
Le chant du monde v. 4	http://canteytoque.es/letrasterremotochant.html	Morirme quisiera (siguiriyas)
"Soleares (II) (Donday, Sabina, Sordera, Borrico y Chozas)"	http://canteytoque.es/letrasritosolea2.html	Soleares de Enrique el Mellizo (la Sabina)
Manuel Mairena	http://canteytoque.es/letraspuroyjondomanuelmairena.html	Soleá de Alcalá
El genio (Quejío) 2	http://canteytoque.es/letrascaracolquejio2.html	Debajito del puente (tientos)
Arte flamenco. Pericón de Cádiz / Chato de La Isla	http://canteytoque.es/letrasvvpericonchato.html	Tu cariño (malagueña del Mellizo)
Cultura Jonda 7	http://canteytoque.es/letrasfernandaybernardacultura.html	Que se te vean tus carnes (tangos) Bernarda
Antonio Mairena	http://canteytoque.es/letrasritoantoniomairena.html	Soleares
Juana la del Revuelo	http://canteytoque.es/letraspuroyjondojuanarevuelo.html	Fandangos
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	Seguiriya y cabal
Cañeta de Málaga	http://canteytoque.es/letraspuroyjondocaneta.html	Tangos
Maestros del cante	http://canteytoque.es/letrasvarea.html	Bien sé que muero (siguiriyas)
50 años de flamenco (1935-1985) v. 10	http://canteytoque.es/letraschocolate50.html	Quisiera volverme yedra (jota por bulerías)
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	A la Virgen de Regla (seguiriya)
Archivo de flamenco. Camarón de La Isla con el Turronero	http://canteytoque.es/letrasvvcamaronturronero.html	Yo sentí un leñador (bulerías de Cádiz) el Camarón
Actuaciones históricas CD 2	http://canteytoque.es/letrasfosforitoact2.html	Lo que yo te quiero a ti (peteneras)
CD 2	http://canteytoque.es/letraspastora02.html	12. De los dolores tan grandes (siguiriya)
El cante de Fernanda y Bernarda de Utrera	http://canteytoque.es/letrasfernandaybernardaelcantede.html	Mi mal no tiene cura (soleares)
Maestros del cante	http://canteytoque.es/letrassorderamaestros.html	Perdona si te hice daño (fandangos)
Figuras del cante jondo	http://canteytoque.es/letrasterremotofiguras.html	Bulerías
Por bulerías	http://canteytoque.es/letrasvvporbulerias.html	Mi Virgen de la Merced. El Borrico
CD 1	http://canteytoque.es/letraspastora01.html	5. Desabridos (cartagenera y fandango de Lucena)
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Lo intento y no puedo (cartagenera) Luis de Córdoba
Le chant du monde v. 18	http://canteytoque.es/letrasromerochant.html	Tú eres zarza (soleares de José Yllanda)
Antología del cante flamenco (CD 2)	http://canteytoque.es/letrasantologiahispavox2.html	Nanas. Bernardo el de los Lobitos
Nueva frontera del cante de Jerez (CD 1)	http://canteytoque.es/letrasvvnuevafrontera1.html	Eres como la retama (tientos) Nano de Jerez
Archivo de flamenco. Camarón de La Isla con el Turronero	http://canteytoque.es/letrasvvcamaronturronero.html	No siento en el mundo más (bulerías gitanas) el Camarón
Antología del cante flamenco (CD 2)	http://canteytoque.es/letrasantologiahispavox2.html	Livianas. Pepe el de la Matrona
Canta Jerez	http://canteytoque.es/letrasvvcantajerez.html	Fiesta en el barrio Santiago (fiesta por bulerías)
Cultura Jonda 7	http://canteytoque.es/letrasfernandaybernardacultura.html	Callejuela de un pueblo perdido (bulerías) Bernarda
Arte flamenco. Miguel Vargas / Chano Lobato	http://canteytoque.es/letrasvvmiguelvargaschano.html	Tan sometido me tenían (martinete y debla) Miguel Vargas
Chano Lobato	http://canteytoque.es/letraspuroyjondochano.html	Malagueñas del Mellizo
Rancapino	http://canteytoque.es/letraspuroyjondorancapino.html	Fandango de Caracol
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Bulería
Pessoa flamenco	http://canteytoque.es/letrasvicentesotopessoa.html	tangos portugueses
Cultura Jonda 10. XV Potaje gitano de Utrera en directo (1971)	http://canteytoque.es/letrasvvxvpotajeutrera.html	Fiesta por rumba y bulerías. Gaspar y Pepa de Utrera
Caminos reales del cante	http://canteytoque.es/letrasmercecaminosreales.html	En la hojita de un olivo (soleá de Jerez)
Cante flamenco (volumen 2)	http://canteytoque.es/letrasfernandaybernardacanteflamenco2.html	Tangos. Fernanda y Bernarda
Solera gitana(Quejío) 2	http://canteytoque.es/letrasmairenaquejio2.html	Aunque vengas de rodillas (tientos)
Cátedra del cante vol. 34	http://canteytoque.es/letrasrequejo.html	En oro y marfil (media granaína) Luisa Requejo
CD 8	http://canteytoque.es/letraspastora08.html	18. Piedra y perdí mi centro (soleá)
disco 10	http://canteytoque.es/letrasvvantologiaariola10.html	Lo montaba un jinete (bulerías) Manuel Agujetas
Cante Jondo	http://canteytoque.es/letrasromerocantejondo.html	Alboreás
CD 8	http://canteytoque.es/letraspastora08.html	10. Qué alegría más grande tiene todo el mundo (siguiriya)
Auténtica	http://canteytoque.es/letrasburra.html	Fandangos
Arroyuelo	http://canteytoque.es/letrasantoniomalena.html	Palitroque
"Antología de cantaores flamencos. Vol. 25 (Agujetas Viejo, Garbanzo y Salmonete)"	http://canteytoque.es/letrasvvagujetaviejogarbanzosalmonete.html	"Ay, María del Mar (tientos) el Garbanzo de Jerez"
disco 7	http://canteytoque.es/letrasvvantologiaariola7.html	El preso cuenta los días (tanguillos del Piyayo) Ángel de Alora
Cantes inéditos(CD 2)	http://canteytoque.es/letrasfernandaybernardacantesineditos2.html	Bulerías
"Grandes guitarras del flamenco. Melchor de Marchena (Antonio Mairena, Pericón, Pepe y Enrique el Culata)"	http://canteytoque.es/letrasvvmelchor.html	Con qué pena (siguiriyas) Pepe el Culata
"Arte flamenco. Juan Cantero / Roque Montoya ""Jarrito"""	http://canteytoque.es/letrasvvcanterojarrito.html	La vela se rompió (alegrías) Juan Cantero
Morrongo	http://canteytoque.es/letrasdondaymorrongo.html	Martinete
CD 4	http://canteytoque.es/letraspastora04.html	22. Como sé que contigo (siguiriya)
El querer no se puede ocultar	http://canteytoque.es/letrasmagujetaquerer.html	Que tanto he dormido (siguiriyas)
Antología del cante flamenco (CD 1)	http://canteytoque.es/letrasantologiahispavox1.html	Cartageneras. Niño de Málaga
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Escrito debe de estar (fandango) Chaquetón
Rubichis	http://canteytoque.es/letrasdiegorubichi.html	Bulerías por soleá
Gitanas de Utrera por bulerías	http://canteytoque.es/letrasvvgitanasdeutrera.html	A la medianoche. La Inés
Cultura Jonda 7	http://canteytoque.es/letrasfernandaybernardacultura.html	Me pongo a comer y no como (bulerías por soleá) Bernarda
CD 11	http://canteytoque.es/letraspastora11.html	16. Lo tiré al pozo mi alma (sevillana)
En la calle Nueva	http://canteytoque.es/letrasangustia.html	Culpable no es (fandangos)
CD 4	http://canteytoque.es/letraspastora04.html	8. A los pies del soberano (cartagenera)
Arte flamenco. Antonio Piñana / Dolores de Córdoba	http://canteytoque.es/letrasvvpinanadolorescordoba.html	Pierdo los vientos (cartagenera de origen) Antonio Piñana
Familia Soto Sordera	http://canteytoque.es/letraspuroyjondofamiliasoto.html	Soleá por bulerías
Grandes cantaores del flamenco	http://canteytoque.es/letrasturronero.html	Dime dónde va a llegar (malagueña)
Jesús Heredia	http://canteytoque.es/letraspuroyjondojesusheredia.html	Minera
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Si yo no te he hecho nada (tientos) Juanito Villar
Cultura Jonda 3	http://canteytoque.es/letraspansecocultura.html	Tápame (bulerías)
Solera gitana(Quejío) 2	http://canteytoque.es/letrasmairenaquejio2.html	Levanta y no duermas (soleá bailable)
CD 7	http://canteytoque.es/letraspastora07.html	14. La luz del entendimiento (tiento)
Cátedra del cante vol. 13	http://canteytoque.es/letrasmedina.html	Una mañana de niebla (tarantas) Niño de Medina
Una historia del cante flamenco 1	http://canteytoque.es/letrascaracolhistoria1.html	Mis ducas no eran na (martinetes)
Fandangos de Huelva (Pepe Rivera y Paco Toronjo)	http://canteytoque.es/letrasritofandangosdehuelva.html	Fandango de Santa Bárbara (Paco Toronjo)
Fandangos de Huelva (Pepe Rivera y Paco Toronjo)	http://canteytoque.es/letrasritofandangosdehuelva.html	Fandango de El Cerro (Paco Toronjo)
"Soleares (II) (Donday, Sabina, Sordera, Borrico y Chozas)"	http://canteytoque.es/letrasritosolea2.html	Soleares de Paquirri el Guanté (Santiago Donday)
Antología del cante flamenco y cante gitano. CD 1	http://canteytoque.es/letrasvvantologiamairena1.html	Fandangos de Triana. La Perla de Triana
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Malagueña
disco 9	http://canteytoque.es/letrasvvantologiaariola9.html	El paño fino en la tienda (soleares) Manolito de Maria
Por tangos y tientos	http://canteytoque.es/letrasvvportangosytientos.html	Yo preparo la mochila (tangos del Piyayo) Pedro Montoya
CD 13	http://canteytoque.es/letraspastora13.html	8. Esquilones de plata (lorqueñas)
La plazuela de los Moneo	http://canteytoque.es/letrasvvfamiliamoneo.html	Al compás del tío Chico
"Antología de cantaores flamencos. Vol. 8 (Chocolate, Cojo de Málaga, Pena hijo)"	http://canteytoque.es/letrasvvchocolatecojomalagapenahijo.html	Te tiene a ti que faltar (soleares) Antonio Nuñez el Chocolate
El Lebrijano	http://canteytoque.es/letrasritolebrijano.html	Tientos
"Soleares (I) (Mairena, E. Paula, Perrate, Fernanda y Lebrijano)"	http://canteytoque.es/letrasritosolea1.html	Soleares de Utrera (Fernanda de Utrera)
En la calle Nueva	http://canteytoque.es/letrasangustia.html	Ven acá mujé (martinete)
Le chant du monde v. 8. (con Agujeta Viejo)	http://canteytoque.es/letrasmagujetachant.html	Eres como la retama (tientos)
"El fandango (A. de Pura, S. Salguero, A. de Álora, Sordera, Sabina y Bengala)"	http://canteytoque.es/letrasritofandango.html	"Fandangos del Gloria (Manuel Soto ""Sordera"")"
CD 9	http://canteytoque.es/letraspastora09.html	5. Delante de mi madre (siguiriya)
Ayer y hoy	http://canteytoque.es/letraschaqueton.html	Arriando velas (alegrías)
