home_links	home_links-href	cante_name
Primer disco	http://canteytoque.es/letrasrancapino1.html	Alegrías de Cádiz
"Triana (Niño Bronce, Rosalía, Oliver, P. Matrona y Titi)"	http://canteytoque.es/letrasritotriana.html	"Tangos de Triana (Manuel ""el Titi"")"
Cultura Jonda 20	http://canteytoque.es/letrasjosleroculturajonda.html	Me juegan consejo de guerra (soleares de la sierra de Grazalema)
VI concurso nacional de arte flamenco 1971 Córdoba (CD2)	http://canteytoque.es/letrasvvviconcurso2.html	Seguiriyas. Diego Camacho
El genio (Quejío) 2	http://canteytoque.es/letrascaracolquejio2.html	La luz del alba (fandangos)
Maestros del cante vol. 2	http://canteytoque.es/letrasborrico.html	No puedo comprenderte (alegrías)
VI concurso nacional de arte flamenco 1971 Córdoba (CD3)	http://canteytoque.es/letrasvvviconcurso3.html	Caracoles. Naranjito de Triana
"De Sanlúcar a La Línea (Medrano, Castaña, Farina, Mollino, Yiyi y Paca)"	http://canteytoque.es/letrasritosanlucaralalinea.html	Bulerías (el Yiyi)
"El barrio de Santiago (Guapo, Agujetas, M. Agujetas, Periñaca, Borrico y Chicharrona)"	http://canteytoque.es/letrasritosantiago.html	"Bulerías (tía Anica ""la Periñaca"")"
Maestros del cante	http://canteytoque.es/letrasbernardolobitos.html	Alguna vez (malagueñas de la Trini)
Oliver de Triana	http://canteytoque.es/letrasritooliver.html	Serranas
Archivo de flamenco. Camarón de La Isla con el Turronero	http://canteytoque.es/letrasvvcamaronturronero.html	El día que me eches de menos (soleares del Puerto) el Camarón
Los cantes inéditos de Juan Talega	http://canteytoque.es/letrastalegacantesineditos.html	Martinete
VI concurso nacional de arte flamenco 1971 Córdoba (CD2)	http://canteytoque.es/letrasvvviconcurso2.html	Tonás. Francisco Andrés Andrés
La casa de los Mairena	http://canteytoque.es/letrasritocasamairena.html	Soleares (Manuel Mairena)
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Tarantas. Antonio Valdepeñas
En familia. Familia Montoya	http://canteytoque.es/letrasvvfamiliamontoya.html	Morena de alegría
Actuaciones históricas CD 1	http://canteytoque.es/letrasfosforitoact1.html	Sale el sol y da en el cristal (soleá apolá y polo)
Le chant du monde v. 18	http://canteytoque.es/letrasromerochant.html	Toná
Un maestro del cante	http://canteytoque.es/letrasescacena.html	Una muchacha de Lorca (tarantas)
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Aires de Huelva
Por alegrías	http://canteytoque.es/letrasvvporalegrias.html	Un duro le di al barquero. Enrique el Culata
Cante gitano	http://canteytoque.es/letrascurromalena.html	Alegrías
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Mariana. Bernardo el de los Lobitos
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Fandango. David Moreno y Ramón de Cádiz
Verea del camino	http://canteytoque.es/letrasvicentesotoverea.html	En mi memoria (tarantas)
disco 4	http://canteytoque.es/letrasvvantologiaariola4.html	Más que Jesús en el huerto (Liviana grande y cambio) Manuel de Angustias
disco 6	http://canteytoque.es/letrasvvantologiaariola6.html	Como te coja en el hierro (romeras) Manuel Agujetas
Inés Bacán	http://canteytoque.es/letraspuroyjondoinesbacan.html	Bulerías
Grandes cantaores del flamenco	http://canteytoque.es/letrasturronero.html	El capote de la ilusión (bulerías)
Fosforito	http://canteytoque.es/letrasritofosforito.html	Polo
La Perrata	http://canteytoque.es/letrasritoperrata.html	Soleares
Nueva frontera del cante de Jerez (CD 1)	http://canteytoque.es/letrasvvnuevafrontera1.html	Me meten en una sala (martinetes fragüeros) Diego Rubichi
CD 10	http://canteytoque.es/letraspastora10.html	8. Se me apareció la muerte (malagueña)
Fosforito	http://canteytoque.es/letrasritofosforito.html	Seguiriya
Le chant du monde v. 17	http://canteytoque.es/letrasbenichant.html	Qué lástima de gitana (bulerías)
Le chant du monde v. 18	http://canteytoque.es/letrasromerochant.html	Hablo con mi Dios (tientos)
Grandes cantaores del flamenco	http://canteytoque.es/letrasmairenagrandes.html	Desde el callejón (tonás)
Cátedra del cante vol. 16	http://canteytoque.es/letrascojohuelva.html	Eres buena y eres mala (bolero por bulerías)
"El barrio de Santiago (Guapo, Agujetas, M. Agujetas, Periñaca, Borrico y Chicharrona)"	http://canteytoque.es/letrasritosantiago.html	"Bulerías (tía Pepa ""la Chicharrona"")"
Viejo cante jondo	http://canteytoque.es/letrasmagujetajondo.html	Viejos cantes campanilleros
Beni de Cádiz (con Manolete)	http://canteytoque.es/letrasritobeni.html	Alegrías
"Fandangos naturales (Gordito, Funi, Morente, Mono, Platero y Camarón)"	http://canteytoque.es/letrasritofandangosnaturales.html	Miguel Funi
"Fiesta gitana por tangos (C. Montoya, V. Peña, Calzones, A. de Álora, Camarón y Funi)"	http://canteytoque.es/letrasritofiestatango.html	Tío Vicente Peña
Terremoto de Jerez	http://canteytoque.es/letrasritoterremoto.html	Soleares
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Quisiera saber (seguiriya)  Juanito Villar
"De Sanlúcar a La Línea (Medrano, Castaña, Farina, Mollino, Yiyi y Paca)"	http://canteytoque.es/letrasritosanlucaralalinea.html	"Alboreá (Antonia Núñez Heredia ""la Castaña"")"
"Colección Federico García Lorca (Torre, Tenazas, Pastora, Tomás y Cepero)"	http://canteytoque.es/letrasvvcoleccionlorca.html	Amapola de un trigal (fandanguillos) Tomás Pavón
Un maestro del cante	http://canteytoque.es/letrasescacena.html	En el barco de tu anhelo (cartageneras)
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	Doctores no han sabido (seguiriyas) la Sallago
Le chant du monde v. 4	http://canteytoque.es/letrasterremotochant.html	Ni testigos ni abogados (fandangos)
Sonakay	http://canteytoque.es/letrasrevuelo.html	Amanecer (bulerías)
Le chant du monde v. 8. (con Agujeta Viejo)	http://canteytoque.es/letrasmagujetachant.html	Soleares del Agujeta
